倍	times; -fold	bèi	这 比 那 个 贵 一 倍 。	zhè bǐ nà ge guì yī bèi .	This is one time more expensive than that one.
擦	to wipe; to rub; to polish	cā	请 擦 一下 桌子 。	qǐng cā yīxià zhuōzi.	Please wipe the table.
尤其	especially; particularly	yóu qí	我 喜欢 水果 ， 尤其 是 苹果 。	wǒ xǐhuan shuǐguǒ, yóuqí shì píngguǒ .	I like fruit, especially apples.
卷	to roll up; roll	juǎn	他 把 地图 卷 了 起来 。	tā bǎ dìtú juǎn le qǐlái .	He rolled up the map.
经验	experience	jīng yàn	他 有 十 年 的 工作 经验 。	tā yǒu shí nián de gōngzuò jīngyàn .	He has ten years of work experience.
盒子	box	hé zi	这 个 盒子 里 有 什么 ？	zhè ge hézi lǐ yǒu shénme?	What's in this box?
艘	(measure word for ships)	sōu	海 上 有 一 艘 大 船 。	hǎi shang yǒu yī sōu dà chuán .	There is a large ship at sea.
干杯	to drink a toast; cheers	gān bēi	大家 一起 干杯 ！	dàjiā yīqǐ gānbēi!	Let's all drink a toast!
看法	view; opinion	kàn fǎ	你 对 这 件 事 有 什么 看法 ？	nǐ duì zhè jiàn shì yǒu shénme kànfǎ?	What is your opinion on this matter?
不到	less than; not yet	bù dào	从 这里 到 学校 不到 一 公里 。	cóng zhèlǐ dào xuéxiào bùdào yī gōnglǐ .	It's less than one kilometer from here to the school.
干掉	to kill; to get rid of	gàn diào	他 在 电影 里 被 人 干掉 了 。	tā zài diànyǐng lǐ bèi rén gàndiào le .	He was killed by someone in the movie.
指控	to accuse; to charge	zhǐ kòng	那 个 男人 被 指控 偷 了 东西 。	nà ge nánrén bèi zhǐkòng tōule dōngxi .	That man was accused of stealing things.
星球	planet	xīng qiú	我们 都 住 在 同 一个 星球 上 。	wǒmen dōu zhù zài tóng yī gè xīngqiú shang .	We all live on the same planet.
录像	video recording; to record a video	lù xiàng	我 给 你 看 我 昨天 的 录像 。	wǒ gěi nǐ kàn wǒ zuótiān de lùxiàng.	I'll show you the video I made yesterday.
刺	thorn; to stab; to prick	cì	他 用 刀 刺 了 那 个 人。	tā yòng dāo cì le nà ge rén.	He stabbed that person with a knife.
程序	procedure; program	chéng xù	这 个 电脑 程序 很 有用 。	zhè ge diànnǎo chéngxù hěn yǒuyòng .	This computer program is very useful.
炒	to stir-fry; to sauté	chǎo	我 喜欢 吃 炒 饭 。	wǒ xǐhuan chī chǎofàn .	I like to eat fried rice.
情绪	mood; feeling; sentiment	qíng xù	他 今天 情绪 不 好 。	tā jīntiān qíngxù bùhǎo .	He is in a bad mood today.
创造	to create; to produce	chuàng zào	他们 创造 了 历史 。	tāmen chuàngzào le lìshǐ .	They made history.
内心	heart; inner being	nèi xīn	虽然 失败 了 ， 但 他 内心 还 充满 希望 。	suīrán shībài le, dàn tā nèixīn hái chōngmǎn xīwàng .	Although he failed, his heart is still full of hope.
暴力	violence; force	bào lì	这 部 电影 里 有 太 多 暴力 。	zhè bù diànyǐng lǐ yǒu tài duō bàolì .	There is too much violence in this movie.
脏	dirty	zāng	你 的 手 很 脏 ，去 洗洗 手 吧 。	nǐ de shǒu hěn zāng, qù xǐxi shǒu ba .	Your hands are dirty; go wash them.
走开	to go away; to walk away	zǒu kāi	请 你 走开 ， 我 现在 很 忙 。	qǐng nǐ zǒukāi, wǒ xiànzài hěn máng .	Please go away; I'm very busy right now.
事故	accident	shì gù	路上 发生 了 一起 交通 事故 。	lùshang fāshēng le yī qǐ jiāotōng shìgù .	A traffic accident occurred on the road.
艺术	art	yì shù	我 对 中国 艺术 很 感 兴趣。	wǒ duì Zhōngguó yìshù hěn gǎn xìngqù.	I am very interested in Chinese art.
速度	speed; rate	sù dù	火车 的 速度 越来越 快 。	huǒchē de sùdù yuèláiyuè kuài .	The train's speed is getting faster and faster.
牺牲	to sacrifice	xī shēng	他 为 国家 牺牲 了 。	tā wèi guójiā xīshēng le .	He sacrificed himself for the country.
勇敢	brave; courageous	yǒng gǎn	他 很 勇敢 ， 不怕 任何 危险 。	tā hěn yǒnggǎn, búpà rènhé wēixiǎn .	He is very brave and not afraid of any danger.
愤怒	anger; rage	fèn nù	他 的 话 让 我 很 愤怒 。	tā de huà ràng wǒ hěn fènnù .	His words made me very angry.
数字	number; numeral; figure	shù zì	请 你 写下 这 个 数字 。	qǐng nǐ xiěxià zhè ge shùzì .	Please write down this number.
咪	(sound of a cat)	mī	小猫 咪咪 叫 。	xiǎomāo mīmī jiào .	The kitten meows.
纸	paper	zhǐ	请 给 我 一 张 纸 。	qǐng gěi wǒ yī zhāng zhǐ .	Please give me a piece of paper.
范围	range; scope; limit	fàn wéi	这 个 问题 超出 了 我 的 知识 范围 。	zhè ge wèntí chāochū le wǒ de zhīshi fànwéi .	This question is beyond my scope of knowledge.
称	to call; to name; to weigh	chēng	大家 都 称 他 “ 老板 ” 。	dàjiā dōu chēng tā "lǎobǎn" .	Everyone calls him "boss".
尽量	as much as possible; to the best of one's ability	jǐn liàng	请 你 尽量 快 一点 完成 。	qǐng nǐ jǐnliàng kuài yīdiǎn wánchéng .	Please finish as quickly as possible.
午餐	lunch	wǔ cān	今天 的 午餐 你 想 吃 什么 ？	jīntiān de wǔcān nǐ xiǎng chī shénme?	What do you want to eat for lunch today?
提出	to put forward; to propose	tí chū	他 提出 了 一个 新 的 想法 。	tā tíchū le yīgè xīn de xiǎngfǎ .	He put forward a new idea.
暂时	temporary; for the time being	zàn shí	我 暂时 住 在 朋友 家 。	wǒ zànshí zhùzài péngyou jiā .	I'm temporarily living at a friend's house.
优秀	outstanding; excellent	yōu xiù	他 是 一 位 很 优秀 的 学生 。	tā shì yī wèi hěn yōuxiù de xuésheng .	He is a very outstanding student.
亲自	personally; in person	qīn zì	我 要 亲自 去 看看 。	wǒ yào qīnzì qù kànkan .	I want to go see for myself.
歌曲	song	gē qǔ	这 是 我 最 喜欢 的 一 首 歌曲 。	zhè shì wǒ zuì xǐhuan de yī shǒu gēqǔ .	This is my favorite song.
大约	approximately; about	dà yuē	这 个 项目 大约 需要 三 个 月 。	zhè ge xiàngmù dàyuē xūyào sān ge yuè .	This project will take approximately three months.
婴儿	baby; infant	yīng ér	这 个 婴儿 正在 睡觉 。	zhè ge yīng'ér zhèngzài shuìjiào .	This baby is sleeping.
笑话	joke; to laugh at	xiào hua	他 讲 了 一个 好笑 的 笑话 。	tā jiǎng le yīgè hǎoxiào de xiàohua .	He told a funny joke.
可惜	it's a pity; unfortunately	kě xī	很 可惜 ， 我 明天 不 能 去 了 。	hěn kěxī, wǒ míngtiān bù néng qù le .	Unfortunately, I can't go tomorrow.
响	to make a sound; to ring; loud	xiǎng	我 的 手机 响 了 。	wǒ de shǒujī xiǎng le .	My phone rang.
石头	stone; rock	shí tou	这 块 石头 很 重 。	zhè kuài shítou hěn zhòng .	This stone is very heavy.
省	province; to save; to economize	shěng	我们 应该 省 点儿 钱 。	wǒmen yīnggāi shěng diǎnr qián .	We should save some money.
细节	details	xì jié	请 你 注意 这 件 事 的 细节 。	qǐng nǐ zhùyì zhè jiàn shì de xìjié .	Please pay attention to the details of this matter.
顶	top; peak; to carry on the head	dǐng	山顶 上 有 一 棵 大 树 。	shāndǐng shang yǒu yī kē dà shù .	There is a large tree on top of the mountain.
科学	science	kē xué	他 对 科学 很 感 兴趣 。	tā duì kēxué hěn gǎn xìngqù .	He is very interested in science.
迷	fan; to be lost	mí	他 是 一 位 动作 电影 迷 。	tā shì yī wèi dòngzuò diànyǐng mí .	He is an action movie fan.
笨	stupid; foolish; clumsy	bèn	我 太 笨 了 ， 不 知道 这 个 问题 的 答案 。	wǒ tài bèn le, bù zhīdào zhè ge wèntí de dá'àn .	I'm too stupid; I don't know the answer to this question.
塔	tower; pagoda	tǎ	那 座 塔 很 高 。	nà zuò tǎ hěn gāo .	That tower is very tall.
有的	some	yǒu de	有 的 人 喜欢 狗 ， 有 的 人 喜欢 猫 。	yǒude rén xǐhuan gǒu, yǒude rén xǐhuan māo .	Some people like dogs, and some people like cats.
道理	reason; sense; principle	dào lǐ	你 说 的 话 很 有 道理 。	nǐ shuō de huà hěn yǒu dàolǐ .	What you said makes a lot of sense.
船长	captain (of a ship)	chuán zhǎng	船长 ， 我们 准备 好 了 。	chuánzhǎng, wǒmen zhǔnbèi hǎo le .	Captain, we are ready.
撒	to scatter; to sprinkle; to let go	sā	孩子 把 牛奶 洒 在 地上 了 。	háizi bǎ niúnǎi sǎ zài dìshang le .	The child spilled the milk on the floor.
歌手	singer	gē shǒu	她 是 一 位 很 有名 的 歌手 。	tā shì yī wèi hěn yǒumíng de gēshǒu .	She is a very famous singer.
运气	luck (good or bad)	yùn qi	我 今天 运气 不 好 。	wǒ jīntiān yùnqi bùhǎo .	I'm having bad luck today.
抽烟	to smoke	chōu yān	这里 不 可以 抽烟 。	zhèlǐ bù kěyǐ chōuyān .	You can't smoke here.
餐厅	restaurant; dining room	cān tīng	这 家 餐厅 的 菜 很 好吃 。	zhè jiā cāntīng de cài hěn hǎochī .	The food at this restaurant is very delicious.
喊	to shout; to call (someone)	hǎn	他 大声 喊 我 的 名字 。	tā dàshēng hǎn wǒ de míngzi .	He shouted my name loudly.
距离	distance	jù lí	北京 到 上海 的 距离 大约 是 一千一百 公里 。	Běijīng dào Shànghǎi de jùlí dàyuē shì yīqiānyībǎi gōnglǐ .	The distance from Beijing to Shanghai is approximately 1100 kilometers.
毒	poison; poisonous; drug	dú	小心 ， 这 个 有 毒 ！	xiǎoxīn, zhè ge yǒu dú!	Be careful, this is poisonous!
有所	to some extent; somewhat	yǒu suǒ	他 的 汉语 水平 有所 提高 。	tā de Hànyǔ shuǐpíng yǒusuǒ tígāo .	His Chinese proficiency has improved somewhat.
制作	to make; to manufacture; to create	zhì zuò	她 正在 厨房 里 制作 蛋糕 。	tā zhèngzài chúfáng lǐ zhìzuò dàngāo .	She is making a cake in the kitchen.
摔	to fall; to stumble; to throw	shuāi	他 不 小心 摔倒 了 。	tā bù xiǎoxīn shuāidǎo le .	He accidentally fell down.
团队	team; group	tuán duì	我们 的 团队 赢得 了 比赛 。	wǒmen de tuánduì yíngdé le bǐsài .	Our team won the competition.
早就	long ago; for a long time	zǎo jiù	我 早就 知道 这 件 事 了 。	wǒ zǎojiù zhīdào zhè jiàn shì le .	I knew about this matter a long time ago.
相处	to get along	xiāng chǔ	你 和 同学 相处 得 怎么样 ？	nǐ hé tóngxué xiāngchǔ de zěnmeyàng?	How do you get along with your classmates?
罢了	and that's all (particle)	bà le	我 只是 想 看看 你 罢了 。	wǒ zhǐshì xiǎng kànkan nǐ bàle .	I just wanted to see you, that's all.
归	to return; to belong to	guī	这 本 书 归 你 了 。	zhè běn shū guī nǐ le .	This book belongs to you now.
度过	to spend (time); to pass	dù guò	我们 在 海边 度过 了 一个 愉快 的 周末 。	wǒmen zài hǎibiān dùguò le yīgè yúkuài de zhōumò .	We spent a pleasant weekend at the seaside.
拳	fist; boxing	quán	他 用 拳 打 了 那 个 人 。	tā yòng quán dǎ le nà ge rén .	He punched that person with his fist.
关注	to pay attention to; to follow (on social media)	guān zhù	请 你 关注 这 件 事 的 发展 。	qǐng nǐ guānzhù zhè jiàn shì de fāzhǎn .	Please pay attention to the development of this matter.
德国	Germany	Dé guó	我 有 一个 朋友 来 自 德国 。	wǒ yǒu yīgè péngyou láizì Déguó .	I have a friend who comes from Germany.
大部分	most; the majority	dà bù fen	大部分 学生 都 在 教室 里 。	dàbùfen xuésheng dōu zài jiàoshì lǐ .	Most of the students are in the classroom.
窗户	window	chuāng hu	请 你 打开 窗户 。	qǐng nǐ dǎkāi chuānghu .	Please open the window.
奇迹	miracle; wonder	qí jì	这 真 是 一 个 奇迹 ！	zhè zhēnshi yīgè qíjì!	This is truly a miracle!
空气	air	kōng qì	海边 的 空气 很 新鲜 。	hǎibiān de kōngqì hěn xīnxiān .	The air at the seaside is very fresh.
护士	nurse	hù shi	这 位 护士 很 照顾 病人 。	zhè wèi hùshi hěn zhàogù bìngrén .	This nurse takes good care of the patients.
分享	to share	fēn xiǎng	我 想 和 你 分享 这 盒 巧克力 。	wǒ xiǎng hé nǐ fēnxiǎng zhè hé qiǎokèlì .	I want to share this box of chocolates with you.
后悔	to regret	hòu huǐ	我 很 后悔 昨晚 没 去 参加 那个 派对 。	wǒ hěn hòuhuǐ zuówǎn méi qù cānjiā nàge pàiduì .	I regret not going to that party last night.
信仰	faith; belief; to believe in	xìn yǎng	他 有 自己 的 信仰 。	tā yǒu zìjǐ de xìnyǎng .	He has his own beliefs.
媒体	media	méi tǐ	现在 的 媒体 好像 更 喜欢 报道 坏 消息 。	xiànzài de méitǐ hǎoxiàng gèng xǐhuan bàodào huài xiāoxi .	It seems like the media today prefers to report bad news.
赶紧	hurriedly; quickly	gǎn jǐn	你 赶紧 去 医院 看看 ！	nǐ gǎnjǐn qù yīyuàn kànkan!	You should go to the hospital quickly!
匹	(measure word for horses); mate	pǐ	这 是 一 匹 好 马 。	zhè shì yī pǐ hǎo mǎ .	This is a good horse.
所谓	so-called; what is called	suǒ wèi	他 不 是 我 所谓 的 朋友 。	tā bù shì wǒ suǒwèi de péngyou .	He is not what I would call a friend.
建立	to build; to establish	jiàn lì	他们 想 建立 一 个 新 的 国家 。	tāmen xiǎng jiànlì yīgè xīn de guójiā .	They want to establish a new country.
印	to print; to seal; mark	yìn	请 打印 此 文件 。	qǐng dǎyìn cǐ wénjiàn .	Please print this document.
无所谓	to be indifferent; not to matter	wú suǒ wèi	我 无所谓 ， 你 决定 吧 。	wǒ wúsuǒwèi, nǐ juédìng ba .	I don't care; you decide.
表达	to express; to convey	biǎo dá	我 不 知道 怎么 表达 我 的 感谢 。	wǒ bù zhīdào zěnme biǎodá wǒ de gǎnxiè .	I don't know how to express my gratitude.
一辈子	(for) a lifetime	yī bèi zi	他 一辈子 都 在 这个 小镇 生活。	tā yībèizi dōu zài zhège xiǎozhèn shēnghuó.	He lived in this small town for his entire life.
神秘	mysterious; mystery	shén mì	这 个 地方 有 一 个 神秘 的 故事 。	zhè ge dìfang yǒu yīgè shénmì de gùshi .	This place has a mysterious story.
实现	to realize; to achieve; to implement	shí xiàn	他 希望 今年 实现 自己 的 目标 。	tā xīwàng jīnnián shíxiàn zìjǐ de mùbiāo .	He hopes to achieve his goals this year.
政治	politics; political	zhèng zhì	他 对 政治 不 感 兴趣 。	tā duì zhèngzhì bù gǎn xìngqù .	He is not interested in politics.
魔鬼	devil; demon	mó guǐ	孩子 们 害怕 故事 里 的 魔鬼 。	háizimen hàipà gùshi lǐ de móguǐ .	The children are afraid of the devil in the story.
孤独	lonely; solitary	gū dú	离开 家 以后 ， 他 有时 会 感觉 孤独 。	líkāi jiā yǐhòu, tā yǒushí huì gǎnjué gūdú .	After leaving home, he sometimes feels lonely.
内容	content; substance	nèi róng	这 本 书 的 内容 很 有意思 。	zhè běn shū de nèiróng hěn yǒuyìsi .	The content of this book is very interesting.
巨大	huge; immense; tremendous	jù dà	这 是 一 个 巨大 的 成功 。	zhè shì yīgè jùdà de chénggōng .	This is a huge success.
宝宝	baby (informal)	bǎo bao	这 个 宝宝 很 可爱 。	zhè ge bǎobao hěn kě'ài .	This baby is very cute.
惩罚	to punish; punishment	chéng fá	他 因为 说谎 受到 了 惩罚 。	tā yīnwèi shuōhuǎng shòudào le chéngfá .	He was punished for lying.
退出	to withdraw; to quit	tuì chū	他 决定 退出 这 个 比赛 。	tā juédìng tuìchū zhè ge bǐsài .	He decided to withdraw from this competition.
对手	opponent; adversary	duì shǒu	他 是 一个 很 强大 的 对手 。	tā shì yīgè hěn qiángdà de duìshǒu .	He is a very strong opponent.
前进	to advance; to go forward	qián jìn	我们 要 继续 前进 。	wǒmen yào jìxù qiánjìn .	We need to keep moving forward.
神奇	magical; mystical; miraculous	shén qí	这 本书 里 有 很 多 神奇 的 故事 。	zhè běnshū lǐ yǒu hěn duō shénqí de gùshi .	There are many magical stories in this book.
登	to ascend; to climb; to publish	dēng	请 大家 排队 登机 。	qǐng dàjiā páiduì dēngjī .	Please line up to board the plane.
提到	to mention; to raise (a subject)	tí dào	他 在 电话 里 提到 了 你 。	tā zài diànhuà lǐ tídào le nǐ .	He mentioned you on the phone.
杂种	bastard; hybrid (very offensive)	zá zhǒng	那 个 人 说 他 是 杂种 。	nà ge rén shuō tā shì zázhǒng .	That person said he is a bastard.
刺激	exciting; stimulating; to provoke	cì jī	这 个 游戏 很 刺激 。	zhè ge yóuxì hěn cìjī .	This game is very exciting.
凭	to rely on; to depend on; based on	píng	你 凭 什么 这样 说 ？	nǐ píng shénme zhèyàng shuō?	Why do you say that? / On what basis do you say that?
规定	regulation; rule; to stipulate	guī dìng	学校 有 规定 ， 学生 不 可以 抽烟 。	xuéxiào yǒu guīdìng, xuésheng bù kěyǐ chōuyān .	The school has a rule that students cannot smoke.
磅	pound (unit of weight)	bàng	这 个 箱子 有 二十 磅 重 。	zhè ge xiāngzi yǒu èrshí bàng zhòng .	This box weighs twenty pounds.
最佳	best; optimal	zuì jiā	这 是 我 能 想到 的 最佳 办法 。	zhè shì wǒ néng xiǎngdào de zuìjiā bànfǎ .	This is the best way I can think of.
废话	nonsense; rubbish; bullshit	fèi huà	不要 说 废话 了 ， 快 说 重点 ！	bùyào shuō fèihuà le, kuài shuō zhòngdiǎn!	Stop talking nonsense and get to the point!
效果	effect; result	xiào guǒ	这 个 药 的 效果 很 好 。	zhè ge yào de xiàoguǒ hěn hǎo .	The effect of this medicine is very good.
伤口	wound; cut	shāng kǒu	他 的 手 上 有 一 个 很 深 的 伤口 。	tā de shǒu shang yǒu yīgè hěn shēn de shāngkǒu .	He has a very deep wound on his hand.
咯	(particle used at the end of a sentence to indicate obviousness)	lo	这 很 简单 咯 ！	zhè hěn jiǎndān lo!	This is very simple!
魔法	magic	mó fǎ	这 个 故事 里 有 魔法 。	zhè ge gùshi lǐ yǒu mófǎ .	There is magic in this story.
独自	alone; by oneself	dú zì	他 喜欢 独自 旅行 。	tā xǐhuan dúzì lǚxíng .	He likes to travel alone.
现金	cash	xiàn jīn	你 有 现金 吗 ？ 我 忘 了 带 钱包 。	nǐ yǒu xiànjīn ma? Wǒ wàng le dài qiánbāo .	Do you have cash? I forgot to bring my wallet.
掌握	to grasp; to master; to control	zhǎng wò	你 掌握 了 这 个 词 的 用法 吗 ？	nǐ zhǎngwò le zhè ge cí de yòngfǎ ma?	Have you mastered the usage of this word?
儿童	children	ér tóng	这 个 电影 不 适合 儿童 看 。	zhè ge diànyǐng bù shìhé értóng kàn .	This movie is not suitable for children to watch.
分开	to separate; to part	fēn kāi	脏 衣服 和 干净 衣服 要 分开 放 。	zāng yīfu hé gānjìng yīfu yào fēnkāi fàng .	Dirty clothes and clean clothes should be placed separately.
租	to rent	zū	我 想 租 一 个 房子 。	wǒ xiǎng zū yīgè fángzi .	I want to rent a house.
承诺	to promise; commitment	chéng nuò	我 承诺 明天 一定 还 你 钱 ， 请 相信 我 ！	wǒ chéngnuò míngtiān yīdìng hái nǐ qián, qǐng xiāngxìn wǒ!	I promise I will definitely return the money to you tomorrow, please believe me!
脖子	neck	bó zi	我 的 脖子 很 痛 。	wǒ de bózi hěn tòng .	My neck hurts.
好看	good-looking; attractive; interesting	hǎo kàn	这 个 女孩子 长得 很 好看 。	zhè ge nǚháizi zhǎng de hěn hǎokàn .	This girl is very good-looking.
篇	(measure word for essays, articles, etc.)	piān	这 篇 报道 很 有意思 。	zhè piān bàodào hěn yǒuyìsi .	This report is very interesting.
玩具	toy	wán jù	孩子 正在 玩 玩具 。	háizi zhèngzài wán wánjù .	The child is playing with toys.
机器人	robot	jī qì rén	这 个 机器人 可以 做 很 多 事 。	zhè ge jīqìrén kěyǐ zuò hěn duō shì .	This robot can do many things.
满足	to satisfy; to meet (needs, demands)	mǎn zú	这 个 工作 不 能 满足 我 的 需要 。	zhè ge gōngzuò bù néng mǎnzú wǒ de xūyào .	This job cannot meet my needs.
打败	to defeat; to be defeated	dǎ bài	我军 打败 了 敌军 ， 赢得 了 战争 。	wǒjūn dǎbài le díjūn, yíngdé le zhànzhēng .	Our army defeated the enemy army and won the war.
不见	to disappear; not to be seen	bù jiàn	我 的 手机 不见 了 ！	wǒ de shǒujī bùjiàn le!	My phone is gone!
确信	to be sure; to be certain	què xìn	我 确信 这 是 真 的 。	wǒ quèxìn zhè shì zhēn de .	I'm certain this is real.
不管怎样	no matter what	bù guǎn zěn yàng	不管怎样 ，今天 一定 要 完成 任务 ！	bùguǎnzěnyàng, jīntiān yīdìng yào wánchéng rènwù!	No matter what, we must complete the task today!
传统	tradition; traditional	chuán tǒng	春节 是 中国 传统 文化 的 重要 组成 部分 。	Chūnjié shì Zhōngguó chuántǒng wénhuà de zhòngyào zǔchéng bùfen .	Spring Festival is an important part of traditional Chinese culture.
浪漫	romantic	làng màn	这 是 一 个 浪漫 的 故事 。	zhè shì yīgè làngmàn de gùshi .	This is a romantic story.
哼	to hum; to groan; humph	hēng	她 哼 着 一 首 歌曲 。	tā hēng zhe yī shǒu gēqǔ .	She is humming a song.
念	to read aloud; to study; to miss	niàn	请 你 念 一下 这 个 句子 。	qǐng nǐ niàn yīxià zhè ge jùzi .	Please read this sentence aloud.
重复	to repeat; to duplicate	chóng fù	请 你 重复 一遍 ， 我 没 听 清楚 。	qǐng nǐ chóngfù yībiàn, wǒ méi tīng qīngchu .	Please repeat it; I didn't hear clearly.
和平	peace; peaceful	hé píng	世界 需要 和平 。	shìjiè xūyào hépíng .	The world needs peace.
欣赏	to appreciate; to enjoy; to admire	xīn shǎng	我 很 欣赏 你 的 工作 。	wǒ hěn xīnshǎng nǐ de gōngzuò .	I really appreciate your work.
留下来	to stay; to remain	liú xià lái	请 你 留下来 吃饭 吧 。	qǐng nǐ liúxiàlái chīfàn ba .	Please stay for dinner.
守	to guard; to defend; to keep	shǒu	他 守 在 门口 。	tā shǒu zài ménkǒu .	He guarded the entrance.
一一	one by one; one after another	yī yī	请 你 一一 回答 这 些 问题 。	qǐng nǐ yīyī huídá zhè xiē wèntí .	Please answer these questions one by one.
态度	attitude; manner	tài du	他 的 工作 态度 很 好 。	tā de gōngzuò tàidu hěn hǎo .	He has a very good work attitude.
尴尬	awkward; embarrassed	gān gà	我 忘记 了 他 的 名字 ， 感觉 很 尴尬 。	wǒ wàngjì le tā de míngzi, gǎnjué hěn gāngà .	I forgot his name and feel very awkward.
诺	to promise; yes (interjection)	nuò	一诺千金 。	yīnuòqiānjīn .	A promise is worth a thousand gold (idiom).
难以	difficult to; hard to	nán yǐ	他 的 突然 离开 令 人 难以 接受 。	tā de tūrán líkāi lìng rén nányǐ jiēshòu .	His sudden departure made it hard for people to accept.
支票	check (bank)	zhī piào	这 家 商店 不 接受 支票 。	zhè jiā shāngdiàn bù jiēshòu zhīpiào .	This store does not accept checks.
早餐	breakfast	zǎo cān	你 早餐 吃 了 什么 ？	nǐ zǎocān chī le shénme?	What did you eat for breakfast?
唯一	only; sole	wéi yī	这 是 唯一 的 办法 。	zhè shì wéiyī de bànfǎ .	This is the only way.
自信	self-confidence; self-confident	zì xìn	他 是 一 个 很 自信 的 人 。	tā shì yīgè hěn zìxìn de rén .	He is a very confident person.
上学	to go to school; to attend school	shàng xué	我 每天 早上 七 点 去 上学 。	wǒ měitiān zǎoshang qī diǎn qù shàngxué .	I go to school at seven o'clock every morning.
生物	living thing; organism; biology	shēng wù	我 对 生物 很 感 兴趣 。	wǒ duì shēngwù hěn gǎn xìngqù .	I am very interested in biology.
理论	theory	lǐ lùn	他 正在 研究 一 个 新 的 理论 。	tā zhèngzài yánjiū yīgè xīn de lǐlùn .	He is researching a new theory.
角度	angle; perspective	jiǎo dù	我们 要 从 不同 的 角度 看 问题 。	wǒmen yào cóng bùtóng de jiǎodù kàn wèntí .	We need to look at the problem from different perspectives.
年纪	age	nián jì	他 虽然 年纪 大 了 ， 但是 身体 很 好 。	tā suīrán niánjì dà le, dànshì shēntǐ hěn hǎo .	Although he is old, he is in good health.
轻	light (in weight); young	qīng	这 个 箱子 很 轻 。	zhè ge xiāngzi hěn qīng .	This box is very light.
观察	to observe; to watch; observation	guān chá	科学家 们 正在 观察 这 种 动物 。	kēxuéjiāmen zhèngzài guānchá zhè zhǒng dòngwù .	The scientists are observing this animal.
击	to hit; to strike; to attack	jī	他 用力 击 球 。	tā yònglì jī qiú .	He hit the ball hard.
龙	dragon	lóng	龙 是 中国 文化 中 的 重要 动物 。	lóng shì Zhōngguó wénhuà zhōng de zhòngyào dòngwù .	The dragon is an important animal in Chinese culture.
埋	to bury; to cover up	mái	他们 把 东西 埋 在 了 地下 。	tāmen bǎ dōngxi mái zài le dìxia .	They buried the things underground.
盖	lid; cover; to build	gài	请 盖 上 瓶子 的 盖子 。	qǐng gài shang píngzi de gàizi .	Please put the lid on the bottle.
关掉	to turn off	guān diào	请 你 关掉 电视 。	qǐng nǐ guāndiào diànshì .	Please turn off the television.
吃惊	to be startled; to be shocked	chī jīng	听到 这 个 消息 ， 我 很 吃惊 。	tīngdào zhè ge xiāoxi, wǒ hěn chījīng .	I was very surprised to hear this news.
大楼	building	dà lóu	我 住 在 那 座 大楼 里 。	wǒ zhùzài nà zuò dàlóu lǐ .	I live in that building.
移动	to move; to shift	yí dòng	现在 人们 经常 使用 移动电话 。	xiànzài rénmen jīngcháng shǐyòng yídòngdiànhuà.	Nowadays, people often use mobile phones.
不断	continuous; constant; unceasing	bù duàn	他 不断 地 学习 新 的 东西 。	tā bùduàn de xuéxí xīn de dōngxi .	He is constantly learning new things.
能量	energy	néng liàng	这 个 机器 需要 很 多 能量 。	zhè ge jīqì xūyào hěn duō néngliàng .	This machine requires a lot of energy.
熟悉	to be familiar with; to know well	shú xī	我 很 熟悉 这 个 地方 。	wǒ hěn shúxī zhè ge dìfang .	I am very familiar with this place.
牙	tooth; teeth	yá	我 的 牙 很 痛 。	wǒ de yá hěn tòng .	My tooth hurts.
闹	noisy; to make a noise; to disturb	nào	孩子 们 在 外面 闹 。	háizimen zài wàimian nào .	The children are making noise outside.
公主	princess	gōng zhǔ	她 像 一 位 公主 。	tā xiàng yī wèi gōngzhǔ .	She is like a princess.
有效	effective; valid	yǒu xiào	这 个 办法 很 有效 。	zhè ge bànfǎ hěn yǒuxiào .	This method is very effective.
美金	U.S. dollar	Měi jīn	这 个 东西 一百 美金 。	zhè ge dōngxi yībǎi Měijīn .	This thing is one hundred U.S. dollars.
滑	slippery; to slip; to slide	huá	小心 ， 地上 很 滑 。	xiǎoxīn, dìshang hěn huá .	Be careful, the floor is very slippery.
夜晚	night	yè wǎn	这 个 夜晚 很 安静 。	zhè ge yèwǎn hěn ānjìng .	This night is very quiet.
清醒	clear-headed; sober; awake	qīng xǐng	他 喝 了 咖啡 ， 现在 很 清醒 。	tā hē le kāfēi, xiànzài hěn qīngxǐng .	He drank coffee and is now very awake.
指望	to hope for; to count on	zhǐ wang	我 不 指望 他 会 帮助 我 。	wǒ bù zhǐwang tā huì bāngzhù wǒ .	I don't expect him to help me.
猜猜	to guess	cāi cai	你 猜猜 我 的 年纪 。	nǐ cāicai wǒ de niánjì .	Guess my age.
感染	to infect; to be infected	gǎn rǎn	这 很 容易 感染 其他 人。	Zhè hěn róngyì gǎnrǎn qítā rén.	This is easy to pass on to other people.
也就是说	that is to say; in other words	yě jiù shì shuō	他 不会 来 了 ， 也就是说 ， 我们 的 计划 失败 了 。	tā bùhuì lái le, yě jiùshì shuō, wǒmen de jìhuà shībài le .	He won't come, that is to say, our plan failed.
抛弃	to abandon; to forsake	pāo qì	他 抛弃 了 他 的 家人 。	tā pāoqì le tā de jiārén .	He abandoned his family.
